"id","surname","name","country"
"17","Оруэлл","Джордж","Англия"
"18","Фицджеральд","Фрэнсис Скотт","США"
"19","Хемингуэй","Эрнест","США"
"id","author_id","title","genre","price","weight","year_publication","pages","count"
"15","18","Преступление и наказание","проза","650.00","0.500","1866","500","50"
"16","19","Новое название","проза","24.99","0.450","1868","600","50"
"18","19","Анна Каренина","проза","24.49","0.700","1877","864","50"
"19","18","1984","проза","18.37","0.300","1949","328","50"
"21","17","Старик и море","другое","138.04","0.200","1952","127","50"
"23","19","linux компьютер","проза","1.22","1.000","2000","456","50"
"31","19","linux компьютер","проза","1.22","1.000","1",NULL,"50"
"76","18","Преступление и наказание","проза","19.99","0.500","1866","500","50"
"78","17","оч дорогая книг","другое","5000.00","1.500","2023","350","50"
"81","17","Книга 1","другое","500.00","1.200","2020","350","10"
"82","17","Книга 2","другое","300.00","1.000","2021","250","5"
"83","17","Книга 2","другое","20.00","1.500","2023","300","100"
"id","surname","name","title","price","year_publication","arrival_date"
"order_id","book_id","count"
"6","The Elder Scrolls V: Skyrim","После убийства короля Скайрима империя оказалась на грани катастрофы. Вокруг претендентов на престол сплотились новые союзы, и разгорелся конфликт. К тому же, как предсказывали древние свитки, в мир вернулись жестокие и беспощадные драконы. Теперь будущее Скайрима и всей империи зависит от драконорожденного — человека, в жилах которого течет кровь легендарных существ.","RPG","1399.00"
"7","FIFA 14","Достоверный, красивый, эмоциональный футбол! Проверенный временем геймплей FIFA стал ещё лучше благодаря инновациям, поощряющим творческую игру в центре поля и позволяющим задавать её темп.","Симулятор","699.00"
"8","Need for Speed Rivals","Забудьте про стандартные режимы игры. Сотрите грань между одиночным и многопользовательским режимом в постоянном соперничестве между гонщиками и полицией. Свободно войдите в мир, в котором ваши друзья уже участвуют в гонках и погонях. ","Симулятор","15.00"
"9","Crysis 3","Действие игры разворачивается в 2047 году, а вам предстоит выступить в роли Пророка.","Шутер","1299.00"
"10","Dead Space 3","В Dead Space 3 Айзек Кларк и суровый солдат Джон Карвер отправляются в космическое путешествие, чтобы узнать о происхождении некроморфов.","Шутер","499.00"
"11","The Sims","AAAAAAAA","Симулятор","200.00"
"id","table_name","operation","operation_time","user_name"
"1","book","INSERT","2025-03-27 09:39:46","root@127.0.0.1"
"2","book","UPDATE","2025-03-27 09:45:59","root@localhost"
"3","book","DELETE","2025-03-27 09:47:14","root@127.0.0.1"
"4","orders","INSERT","2025-03-27 09:48:26","root@localhost"
"5","orders","UPDATE","2025-03-27 09:52:58","root@localhost"
"6","ordes","DELETE","2025-03-27 09:53:39","root@127.0.0.1"
"7","book","UPDATE","2025-03-27 10:05:19","root@localhost"
"8","book","INSERT","2025-03-27 10:22:12","root@127.0.0.1"
"9","book","UPDATE","2025-03-27 10:25:11","root@localhost"
"10","book","UPDATE","2025-03-27 10:25:11","root@localhost"
"11","book","UPDATE","2025-03-27 10:25:11","root@localhost"
"12","book","UPDATE","2025-03-27 10:25:11","root@localhost"
"13","book","UPDATE","2025-03-27 10:25:11","root@localhost"
"14","book","UPDATE","2025-03-27 10:25:11","root@localhost"
"15","book","UPDATE","2025-03-27 10:25:11","root@localhost"
"16","book","UPDATE","2025-03-27 10:25:11","root@localhost"
"17","book","UPDATE","2025-03-27 10:25:11","root@localhost"
"18","book","INSERT","2025-03-27 10:28:39","root@127.0.0.1"
"19","book","INSERT","2025-03-27 10:28:39","root@127.0.0.1"
"20","orders","INSERT","2025-03-27 10:29:07","root@localhost"
"21","orders","INSERT","2025-03-27 10:29:07","root@localhost"
"22","orders","INSERT","2025-03-27 10:46:19","userTask3@localhost"
"23","book","INSERT","2025-03-27 11:04:29","root@127.0.0.1"
"id","eventTime","eventName"
"1","2025-03-24 11:36:10","event1"
"2","2025-03-24 11:36:20","event1"
"3","2025-03-24 11:36:30","event1"
"4","2025-03-24 11:36:40","event1"
"5","2025-03-24 11:36:50","event1"
"6","2025-03-24 11:37:00","event1"
"7","2025-03-24 11:37:10","event1"
"8","2025-03-24 11:37:20","event1"
"9","2025-03-24 11:37:30","event1"
"10","2025-03-24 11:37:40","event1"
"11","2025-03-24 11:37:50","event1"
"12","2025-03-24 11:38:00","event1"
"13","2025-03-24 11:38:10","event1"
"14","2025-03-24 11:38:20","event1"
"15","2025-03-24 11:38:30","event1"
"16","2025-03-24 11:38:40","event1"
"17","2025-03-24 11:38:50","event1"
"18","2025-03-24 11:39:00","event1"
"19","2025-03-24 11:39:10","event1"
"20","2025-03-24 11:39:20","event1"
"21","2025-03-24 11:39:30","event1"
"22","2025-03-24 11:39:40","event1"
"23","2025-03-24 11:39:50","event1"
"24","2025-03-24 11:40:00","event1"
"25","2025-03-24 11:40:10","event1"
"26","2025-03-24 11:40:20","event1"
"27","2025-03-24 11:40:30","event1"
"28","2025-03-24 11:40:39","event2_30s"
"29","2025-03-24 11:40:40","event1"
"30","2025-03-24 11:40:50","event1"
"31","2025-03-24 11:40:51","event2"
"32","2025-03-24 11:41:00","event1"
"33","2025-03-24 11:41:09","event2_30s"
"34","2025-03-24 11:41:10","event1"
"35","2025-03-24 11:41:39","event2_30s"
"36","2025-03-24 11:42:09","event2_30s"
"37","2025-03-24 11:42:39","event2_30s"
"38","2025-03-24 11:42:51","event2"
"39","2025-03-24 11:43:09","event2_30s"
"40","2025-03-24 11:43:39","event2_30s"
"41","2025-03-24 11:44:09","event2_30s"
"42","2025-03-24 11:44:39","event2_30s"
"43","2025-03-24 11:44:51","event2"
"44","2025-03-24 11:45:09","event2_30s"
"45","2025-03-24 11:45:39","event2_30s"
"46","2025-03-24 11:46:09","event2_30s"
"47","2025-03-24 11:46:39","event2_30s"
"48","2025-03-24 11:46:51","event2"
"49","2025-03-24 11:47:09","event2_30s"
"50","2025-03-24 11:47:39","event2_30s"
"51","2025-03-24 11:48:09","event2_30s"
"52","2025-03-24 11:48:39","event2_30s"
"53","2025-03-24 11:48:51","event2"
"54","2025-03-24 11:49:09","event2_30s"
"55","2025-03-24 11:49:39","event2_30s"
"56","2025-03-24 11:50:09","event2_30s"
"57","2025-03-24 11:50:40","event2_30s"
"58","2025-03-24 11:50:51","event2"
"59","2025-03-24 11:51:09","event2_30s"
"60","2025-03-24 11:51:39","event2_30s"
"61","2025-03-24 11:52:09","event2_30s"
"62","2025-03-24 11:52:39","event2_30s"
"63","2025-03-24 11:52:51","event2"
"64","2025-03-24 11:53:09","event2_30s"
"65","2025-03-24 11:53:39","event2_30s"
"66","2025-03-24 11:54:09","event2_30s"
"67","2025-03-24 11:54:39","event2_30s"
"68","2025-03-24 11:54:51","event2"
"69","2025-03-24 11:55:09","event2_30s"
"70","2025-03-24 11:55:39","event2_30s"
"71","2025-03-24 11:56:09","event2_30s"
"72","2025-03-24 11:56:39","event2_30s"
"73","2025-03-24 11:56:51","event2"
"74","2025-03-24 11:57:09","event2_30s"
"75","2025-03-24 11:57:39","event2_30s"
"76","2025-03-24 11:58:09","event2_30s"
"77","2025-03-24 11:58:39","event2_30s"
"78","2025-03-24 11:58:51","event2"
"79","2025-03-24 11:59:09","event2_30s"
"80","2025-03-24 11:59:39","event2_30s"
"81","2025-03-24 12:00:09","event2_30s"
"82","2025-03-24 12:00:39","event2_30s"
"83","2025-03-24 12:00:51","event2"
"84","2025-03-24 12:01:09","event2_30s"
"85","2025-03-24 12:01:39","event2_30s"
"86","2025-03-24 12:02:09","event2_30s"
"87","2025-03-24 12:02:39","event2_30s"
"88","2025-03-24 12:02:51","event2"
"89","2025-03-24 12:03:09","event2_30s"
"90","2025-03-24 12:03:39","event2_30s"
"91","2025-03-24 12:04:09","event2_30s"
"92","2025-03-24 12:04:39","event2_30s"
"93","2025-03-24 12:04:51","event2"
"94","2025-03-24 12:05:09","event2_30s"
"95","2025-03-24 12:05:39","event2_30s"
"96","2025-03-24 12:06:09","event2_30s"
"97","2025-03-24 12:06:39","event2_30s"
"98","2025-03-24 12:06:51","event2"
"99","2025-03-24 12:07:09","event2_30s"
"100","2025-03-24 12:07:39","event2_30s"
"101","2025-03-24 12:08:09","event2_30s"
"102","2025-03-24 12:08:39","event2_30s"
"103","2025-03-24 12:08:51","event2"
"104","2025-03-24 12:09:09","event2_30s"
"105","2025-03-24 12:09:39","event2_30s"
"106","2025-03-24 12:10:09","event2_30s"
"107","2025-03-24 12:10:39","event2_30s"
"108","2025-03-24 12:10:51","event2"
"109","2025-03-24 12:11:09","event2_30s"
"110","2025-03-24 12:11:39","event2_30s"
"111","2025-03-24 12:12:09","event2_30s"
"112","2025-03-24 12:12:39","event2_30s"
"113","2025-03-24 12:12:51","event2"
"114","2025-03-24 12:13:09","event2_30s"
"115","2025-03-24 12:13:39","event2_30s"
"116","2025-03-24 12:14:10","event2_30s"
"117","2025-03-24 12:14:39","event2_30s"
"118","2025-03-24 12:14:51","event2"
"119","2025-03-24 12:15:09","event2_30s"
"120","2025-03-24 12:15:39","event2_30s"
"121","2025-03-24 12:16:09","event2_30s"
"122","2025-03-24 12:16:39","event2_30s"
"123","2025-03-24 12:16:51","event2"
"124","2025-03-24 12:17:09","event2_30s"
"125","2025-03-24 12:17:39","event2_30s"
"126","2025-03-24 12:18:09","event2_30s"
"127","2025-03-24 12:18:39","event2_30s"
"128","2025-03-24 12:18:51","event2"
"129","2025-03-24 12:19:09","event2_30s"
"130","2025-03-24 12:19:39","event2_30s"
"131","2025-03-24 12:20:09","event2_30s"
"132","2025-03-24 12:20:39","event2_30s"
"133","2025-03-24 12:20:51","event2"
"134","2025-03-24 12:21:09","event2_30s"
"135","2025-03-24 12:21:39","event2_30s"
"136","2025-03-24 12:22:09","event2_30s"
"137","2025-03-24 12:22:39","event2_30s"
"138","2025-03-24 12:22:51","event2"
"139","2025-03-24 12:23:09","event2_30s"
"140","2025-03-24 12:23:39","event2_30s"
"141","2025-03-24 12:24:09","event2_30s"
"142","2025-03-24 12:24:39","event2_30s"
"143","2025-03-24 12:24:51","event2"
"144","2025-03-24 12:25:09","event2_30s"
"145","2025-03-24 12:25:39","event2_30s"
"146","2025-03-24 12:26:09","event2_30s"
"147","2025-03-24 12:26:39","event2_30s"
"148","2025-03-24 12:26:51","event2"
"149","2025-03-25 08:04:51","event2"
"150","2025-03-25 08:05:09","event2_30s"
"151","2025-03-25 08:05:39","event2_30s"
"152","2025-03-25 08:06:10","event2_30s"
"153","2025-03-25 08:06:39","event2_30s"
"154","2025-03-25 08:06:51","event2"
"155","2025-03-25 08:07:09","event2_30s"
"156","2025-03-25 08:07:39","event2_30s"
"157","2025-03-25 08:08:09","event2_30s"
"158","2025-03-25 08:08:39","event2_30s"
"159","2025-03-25 08:08:51","event2"
"160","2025-03-25 08:09:09","event2_30s"
"161","2025-03-25 08:09:39","event2_30s"
"162","2025-03-25 08:10:09","event2_30s"
"163","2025-03-25 08:10:39","event2_30s"
"164","2025-03-25 08:10:51","event2"
"165","2025-03-25 08:11:09","event2_30s"
"166","2025-03-25 08:11:39","event2_30s"
"167","2025-03-25 08:12:09","event2_30s"
"168","2025-03-25 08:12:39","event2_30s"
"169","2025-03-25 08:12:51","event2"
"170","2025-03-25 08:13:09","event2_30s"
"171","2025-03-25 08:13:39","event2_30s"
"172","2025-03-25 08:14:09","event2_30s"
"173","2025-03-25 08:14:39","event2_30s"
"174","2025-03-25 08:14:51","event2"
"175","2025-03-25 08:15:09","event2_30s"
"176","2025-03-25 08:15:39","event2_30s"
"177","2025-03-25 08:16:09","event2_30s"
"178","2025-03-25 08:16:39","event2_30s"
"179","2025-03-25 08:16:51","event2"
"180","2025-03-25 08:17:09","event2_30s"
"181","2025-03-25 08:17:39","event2_30s"
"182","2025-03-25 08:18:09","event2_30s"
"183","2025-03-25 08:18:39","event2_30s"
"184","2025-03-25 08:18:51","event2"
"185","2025-03-25 08:19:09","event2_30s"
"186","2025-03-25 08:19:39","event2_30s"
"187","2025-03-25 08:20:09","event2_30s"
"188","2025-03-25 08:20:39","event2_30s"
"189","2025-03-25 08:20:51","event2"
"190","2025-03-25 08:21:09","event2_30s"
"191","2025-03-25 08:21:39","event2_30s"
"192","2025-03-25 08:22:09","event2_30s"
"193","2025-03-25 08:22:39","event2_30s"
"194","2025-03-25 08:22:51","event2"
"195","2025-03-25 08:23:09","event2_30s"
"196","2025-03-25 08:23:39","event2_30s"
"197","2025-03-25 08:24:09","event2_30s"
"198","2025-03-25 08:24:39","event2_30s"
"199","2025-03-25 08:24:51","event2"
"200","2025-03-25 08:25:09","event2_30s"
"201","2025-03-25 08:25:39","event2_30s"
"202","2025-03-25 08:26:09","event2_30s"
"203","2025-03-25 08:26:39","event2_30s"
"204","2025-03-25 08:26:51","event2"
"205","2025-03-25 08:27:09","event2_30s"
"206","2025-03-25 08:27:39","event2_30s"
"207","2025-03-25 08:28:09","event2_30s"
"208","2025-03-25 08:28:39","event2_30s"
"209","2025-03-25 08:28:51","event2"
"210","2025-03-25 08:29:10","event2_30s"
"211","2025-03-25 08:29:39","event2_30s"
"212","2025-03-25 08:30:09","event2_30s"
"213","2025-03-25 08:30:39","event2_30s"
"214","2025-03-25 08:30:51","event2"
"215","2025-03-25 08:31:09","event2_30s"
"216","2025-03-25 08:31:39","event2_30s"
"217","2025-03-25 08:32:09","event2_30s"
"218","2025-03-25 08:32:39","event2_30s"
"219","2025-03-25 08:32:51","event2"
"220","2025-03-25 08:33:09","event2_30s"
"221","2025-03-25 08:33:39","event2_30s"
"222","2025-03-25 08:34:09","event2_30s"
"223","2025-03-25 08:34:39","event2_30s"
"224","2025-03-25 08:34:51","event2"
"225","2025-03-25 08:35:09","event2_30s"
"226","2025-03-25 08:35:39","event2_30s"
"227","2025-03-25 08:36:09","event2_30s"
"228","2025-03-25 08:36:39","event2_30s"
"229","2025-03-25 08:36:51","event2"
"230","2025-03-25 08:37:09","event2_30s"
"231","2025-03-25 08:37:39","event2_30s"
"232","2025-03-25 08:38:09","event2_30s"
"233","2025-03-25 08:38:39","event2_30s"
"234","2025-03-25 08:38:51","event2"
"235","2025-03-25 08:39:09","event2_30s"
"236","2025-03-25 08:39:39","event2_30s"
"237","2025-03-25 08:40:09","event2_30s"
"238","2025-03-25 08:40:39","event2_30s"
"239","2025-03-25 08:40:51","event2"
"240","2025-03-25 08:41:09","event2_30s"
"241","2025-03-25 08:41:39","event2_30s"
"242","2025-03-25 08:42:09","event2_30s"
"243","2025-03-25 08:42:39","event2_30s"
"244","2025-03-25 08:42:51","event2"
"245","2025-03-25 08:43:09","event2_30s"
"246","2025-03-25 08:43:39","event2_30s"
"247","2025-03-25 08:44:09","event2_30s"
"248","2025-03-25 08:44:39","event2_30s"
"249","2025-03-25 08:44:51","event2"
"250","2025-03-25 08:45:09","event2_30s"
"251","2025-03-25 08:45:39","event2_30s"
"252","2025-03-25 08:46:09","event2_30s"
"253","2025-03-25 08:46:39","event2_30s"
"254","2025-03-25 08:46:51","event2"
"255","2025-03-25 08:47:09","event2_30s"
"256","2025-03-25 08:47:39","event2_30s"
"257","2025-03-25 08:48:09","event2_30s"
"258","2025-03-25 08:48:39","event2_30s"
"259","2025-03-25 08:48:51","event2"
"260","2025-03-25 08:49:09","event2_30s"
"261","2025-03-25 08:49:39","event2_30s"
"262","2025-03-25 08:50:09","event2_30s"
"263","2025-03-25 08:50:39","event2_30s"
"264","2025-03-25 08:50:51","event2"
"265","2025-03-25 08:51:09","event2_30s"
"266","2025-03-25 08:51:39","event2_30s"
"267","2025-03-25 08:52:09","event2_30s"
"268","2025-03-25 08:52:39","event2_30s"
"269","2025-03-25 08:52:51","event2"
"270","2025-03-25 08:53:09","event2_30s"
"271","2025-03-25 08:53:40","event2_30s"
"272","2025-03-25 08:54:09","event2_30s"
"273","2025-03-25 08:54:39","event2_30s"
"274","2025-03-25 08:54:51","event2"
"275","2025-03-25 08:55:09","event2_30s"
"276","2025-03-25 08:55:39","event2_30s"
"277","2025-03-25 08:56:09","event2_30s"
"278","2025-03-25 08:56:39","event2_30s"
"279","2025-03-25 08:56:51","event2"
"280","2025-03-25 08:57:09","event2_30s"
"281","2025-03-25 08:57:39","event2_30s"
"282","2025-03-25 08:58:09","event2_30s"
"283","2025-03-25 08:58:39","event2_30s"
"284","2025-03-25 08:58:51","event2"
"285","2025-03-25 08:59:09","event2_30s"
"286","2025-03-25 08:59:39","event2_30s"
"287","2025-03-25 09:00:09","event2_30s"
"288","2025-03-25 09:00:39","event2_30s"
"289","2025-03-25 09:00:51","event2"
"290","2025-03-25 09:01:09","event2_30s"
"291","2025-03-25 09:01:39","event2_30s"
"292","2025-03-25 09:02:09","event2_30s"
"293","2025-03-25 09:02:39","event2_30s"
"294","2025-03-25 09:02:51","event2"
"295","2025-03-25 09:03:09","event2_30s"
"296","2025-03-25 09:03:39","event2_30s"
"297","2025-03-25 09:04:09","event2_30s"
"298","2025-03-25 09:04:39","event2_30s"
"299","2025-03-25 09:04:51","event2"
"300","2025-03-25 09:05:09","event2_30s"
"301","2025-03-25 09:05:39","event2_30s"
"302","2025-03-25 09:06:09","event2_30s"
"303","2025-03-25 09:06:39","event2_30s"
"304","2025-03-25 09:06:51","event2"
"305","2025-03-25 09:07:09","event2_30s"
"306","2025-03-25 09:07:39","event2_30s"
"307","2025-03-25 09:08:09","event2_30s"
"308","2025-03-25 09:08:40","event2_30s"
"309","2025-03-25 09:08:51","event2"
"310","2025-03-25 09:09:09","event2_30s"
"311","2025-03-25 09:09:39","event2_30s"
"312","2025-03-25 09:10:09","event2_30s"
"313","2025-03-25 09:10:39","event2_30s"
"314","2025-03-25 09:10:51","event2"
"315","2025-03-25 09:11:09","event2_30s"
"316","2025-03-25 09:11:39","event2_30s"
"317","2025-03-25 09:12:09","event2_30s"
"318","2025-03-25 09:12:39","event2_30s"
"319","2025-03-25 09:12:51","event2"
"320","2025-03-25 09:13:09","event2_30s"
"321","2025-03-25 09:13:39","event2_30s"
"322","2025-03-25 09:14:09","event2_30s"
"323","2025-03-25 09:14:39","event2_30s"
"324","2025-03-25 09:14:51","event2"
"325","2025-03-25 09:15:09","event2_30s"
"326","2025-03-25 09:15:39","event2_30s"
"327","2025-03-25 09:16:09","event2_30s"
"328","2025-03-25 09:16:39","event2_30s"
"329","2025-03-25 09:16:51","event2"
"330","2025-03-25 09:17:09","event2_30s"
"331","2025-03-25 09:17:39","event2_30s"
"332","2025-03-25 09:18:09","event2_30s"
"333","2025-03-25 09:18:39","event2_30s"
"334","2025-03-25 09:18:51","event2"
"335","2025-03-25 09:19:09","event2_30s"
"336","2025-03-25 09:19:39","event2_30s"
"337","2025-03-25 09:20:09","event2_30s"
"338","2025-03-25 09:20:39","event2_30s"
"339","2025-03-25 09:20:51","event2"
"340","2025-03-25 09:21:09","event2_30s"
"341","2025-03-25 09:21:39","event2_30s"
"342","2025-03-25 09:22:09","event2_30s"
"343","2025-03-25 09:22:39","event2_30s"
"344","2025-03-25 09:22:51","event2"
"345","2025-03-25 09:23:09","event2_30s"
"346","2025-03-25 09:23:40","event2_30s"
"347","2025-03-25 09:24:09","event2_30s"
"348","2025-03-25 09:24:39","event2_30s"
"349","2025-03-25 09:24:51","event2"
"350","2025-03-25 09:25:09","event2_30s"
"351","2025-03-25 09:25:39","event2_30s"
"352","2025-03-25 09:26:09","event2_30s"
"353","2025-03-25 09:26:39","event2_30s"
"354","2025-03-25 09:26:51","event2"
"355","2025-03-25 09:27:09","event2_30s"
"356","2025-03-25 09:27:39","event2_30s"
"357","2025-03-25 09:28:09","event2_30s"
"358","2025-03-25 09:28:39","event2_30s"
"359","2025-03-25 09:28:51","event2"
"360","2025-03-25 09:29:09","event2_30s"
"361","2025-03-25 09:29:39","event2_30s"
"362","2025-03-25 09:30:09","event2_30s"
"363","2025-03-25 09:30:39","event2_30s"
"364","2025-03-25 09:30:51","event2"
"365","2025-03-25 09:31:09","event2_30s"
"366","2025-03-25 09:31:39","event2_30s"
"367","2025-03-25 09:32:09","event2_30s"
"368","2025-03-25 09:32:39","event2_30s"
"369","2025-03-25 09:32:51","event2"
"370","2025-03-25 09:33:09","event2_30s"
"371","2025-03-25 09:33:39","event2_30s"
"372","2025-03-25 09:34:09","event2_30s"
"373","2025-03-25 09:34:39","event2_30s"
"374","2025-03-25 09:34:51","event2"
"375","2025-03-25 09:35:09","event2_30s"
"376","2025-03-25 09:35:39","event2_30s"
"377","2025-03-25 09:36:09","event2_30s"
"378","2025-03-25 09:36:39","event2_30s"
"379","2025-03-25 09:36:51","event2"
"380","2025-03-25 09:37:09","event2_30s"
"381","2025-03-25 09:37:39","event2_30s"
"382","2025-03-25 09:38:09","event2_30s"
"383","2025-03-25 09:38:39","event2_30s"
"384","2025-03-25 09:38:51","event2"
"385","2025-03-25 09:39:09","event2_30s"
"386","2025-03-25 09:39:39","event2_30s"
"387","2025-03-25 09:40:09","event2_30s"
"388","2025-03-25 09:40:39","event2_30s"
"389","2025-03-25 09:40:51","event2"
"390","2025-03-25 09:41:09","event2_30s"
"391","2025-03-25 09:41:39","event2_30s"
"392","2025-03-25 09:42:09","event2_30s"
"393","2025-03-25 09:42:39","event2_30s"
"394","2025-03-25 09:42:51","event2"
"395","2025-03-25 09:43:10","event2_30s"
"396","2025-03-25 09:43:39","event2_30s"
"397","2025-03-25 09:44:09","event2_30s"
"398","2025-03-25 09:44:39","event2_30s"
"399","2025-03-25 09:44:51","event2"
"400","2025-03-25 09:45:09","event2_30s"
"401","2025-03-25 09:45:39","event2_30s"
"402","2025-03-25 09:46:09","event2_30s"
"403","2025-03-25 09:46:39","event2_30s"
"404","2025-03-25 09:46:51","event2"
"405","2025-03-25 09:47:09","event2_30s"
"406","2025-03-25 09:47:39","event2_30s"
"407","2025-03-25 09:48:09","event2_30s"
"408","2025-03-25 09:48:39","event2_30s"
"409","2025-03-25 09:48:51","event2"
"410","2025-03-25 09:49:09","event2_30s"
"411","2025-03-25 09:49:39","event2_30s"
"412","2025-03-25 09:50:09","event2_30s"
"413","2025-03-25 09:50:39","event2_30s"
"414","2025-03-25 09:50:51","event2"
"415","2025-03-25 09:51:09","event2_30s"
"416","2025-03-25 09:51:39","event2_30s"
"417","2025-03-25 09:52:09","event2_30s"
"418","2025-03-25 09:52:39","event2_30s"
"419","2025-03-25 09:52:51","event2"
"420","2025-03-25 09:53:09","event2_30s"
"421","2025-03-25 09:53:39","event2_30s"
"422","2025-03-25 09:54:09","event2_30s"
"423","2025-03-25 09:54:39","event2_30s"
"424","2025-03-25 09:54:51","event2"
"425","2025-03-25 09:55:09","event2_30s"
"426","2025-03-25 09:55:39","event2_30s"
"427","2025-03-25 09:56:09","event2_30s"
"428","2025-03-25 09:56:39","event2_30s"
"429","2025-03-25 09:56:51","event2"
"430","2025-03-25 09:57:09","event2_30s"
"431","2025-03-25 09:57:39","event2_30s"
"432","2025-03-25 09:58:09","event2_30s"
"433","2025-03-25 09:58:39","event2_30s"
"434","2025-03-25 09:58:51","event2"
"435","2025-03-25 09:59:09","event2_30s"
"436","2025-03-25 09:59:40","event2_30s"
"437","2025-03-25 10:00:09","event2_30s"
"438","2025-03-25 10:00:39","event2_30s"
"439","2025-03-25 10:00:51","event2"
"440","2025-03-25 10:01:09","event2_30s"
"441","2025-03-25 10:01:39","event2_30s"
"442","2025-03-25 10:02:09","event2_30s"
"443","2025-03-25 10:02:39","event2_30s"
"444","2025-03-25 10:02:51","event2"
"445","2025-03-25 10:03:09","event2_30s"
"446","2025-03-25 10:03:39","event2_30s"
"447","2025-03-25 10:04:09","event2_30s"
"448","2025-03-25 10:04:39","event2_30s"
"449","2025-03-25 10:04:51","event2"
"450","2025-03-25 10:05:09","event2_30s"
"451","2025-03-25 10:05:39","event2_30s"
"452","2025-03-25 10:06:09","event2_30s"
"453","2025-03-25 10:06:39","event2_30s"
"454","2025-03-25 10:06:51","event2"
"455","2025-03-25 10:07:09","event2_30s"
"456","2025-03-25 10:07:39","event2_30s"
"457","2025-03-25 10:08:09","event2_30s"
"458","2025-03-25 10:08:39","event2_30s"
"459","2025-03-25 10:08:51","event2"
"460","2025-03-25 10:09:09","event2_30s"
"461","2025-03-25 10:09:39","event2_30s"
"462","2025-03-25 10:10:09","event2_30s"
"463","2025-03-25 10:10:39","event2_30s"
"464","2025-03-25 10:10:51","event2"
"465","2025-03-25 10:11:09","event2_30s"
"466","2025-03-25 10:11:39","event2_30s"
"467","2025-03-25 10:12:09","event2_30s"
"468","2025-03-25 10:12:39","event2_30s"
"469","2025-03-25 10:12:51","event2"
"470","2025-03-25 10:13:09","event2_30s"
"471","2025-03-27 08:10:36","event3"
"id","customers_id","order_date"
"17","4","2023-10-01 00:00:00"
"18","5","2023-10-01 00:00:00"
"21","9","2025-03-27 08:50:53"
"22","7","2025-03-27 09:12:32"
"27","7","2025-03-01 00:00:00"
"28","7","2025-03-02 00:00:00"
"30","13","2025-03-01 00:00:00"
"id","surname","name","title","price"
"Title","MaxPlayers","Genres","Release Console","ReleaseYear"
"Super Mario 64 DS","1","Action","Nintendo DS","2004"
"Lumines: Puzzle Fusion","1","Strategy","Sony PSP","2004"
"WarioWare Touched!","2","Action,Racing / Driving,Sports","Nintendo DS","2004"
"Hot Shots Golf: Open Tee","1","Sports","Sony PSP","2004"
